velocidad_bala,distancia,altura_bala,accion
-13.0,320.0,643.0,0
-13.0,307.0,643.0,0
-13.0,294.0,643.0,0
-13.0,281.0,643.0,0
-13.0,268.0,643.0,0
-13.0,255.0,643.0,0
-13.0,242.0,643.0,0
-13.0,229.0,643.0,0
-13.0,216.0,643.0,1
-13.0,203.0,643.0,1
-13.0,190.0,643.0,1
-13.0,177.0,643.0,1
-13.0,164.0,643.0,1
-13.0,151.0,643.0,1
-13.0,138.0,643.0,1
-13.0,125.0,643.0,1
-13.0,112.0,643.0,1
-13.0,99.0,643.0,1
-13.0,86.0,643.0,1
-13.0,73.0,643.0,1
-13.0,60.0,643.0,1
-13.0,47.0,643.0,1
-13.0,34.0,643.0,1
-13.0,21.0,643.0,1
-13.0,8.0,643.0,1
-13.0,5.0,643.0,1
-13.0,18.0,643.0,1
-13.0,31.0,643.0,1
-13.0,44.0,643.0,1
-13.0,57.0,643.0,1
-13.0,70.0,643.0,1
-15.0,955.0,544.0,1
-15.0,940.0,544.0,1
-15.0,925.0,544.0,1
-15.0,910.0,544.0,1
-15.0,895.0,544.0,1
-15.0,880.0,544.0,1
-15.0,865.0,544.0,1
-15.0,850.0,544.0,1
-15.0,835.0,544.0,0
-15.0,820.0,544.0,0
-15.0,805.0,544.0,0
-15.0,790.0,544.0,0
-15.0,775.0,544.0,0
-15.0,760.0,544.0,0
-15.0,745.0,544.0,0
-15.0,730.0,544.0,0
-15.0,715.0,544.0,0
-15.0,700.0,544.0,0
-15.0,685.0,544.0,0
-15.0,670.0,544.0,0
-15.0,655.0,544.0,0
-15.0,640.0,544.0,0
-15.0,625.0,544.0,0
-15.0,610.0,544.0,0
-15.0,595.0,544.0,0
-15.0,580.0,544.0,0
-15.0,565.0,544.0,0
-15.0,550.0,544.0,0
-15.0,535.0,544.0,0
-15.0,520.0,544.0,0
-15.0,505.0,544.0,0
-15.0,490.0,544.0,0
-15.0,475.0,544.0,0
-15.0,460.0,544.0,0
-15.0,445.0,544.0,0
-15.0,430.0,544.0,2
-15.0,415.0,544.0,2
-15.0,400.0,544.0,2
-15.0,385.0,544.0,2
-15.0,370.0,544.0,2
-15.0,355.0,544.0,2
-15.0,340.0,544.0,2
-15.0,325.0,544.0,2
-15.0,310.0,544.0,2
-15.0,295.0,544.0,2
-15.0,280.0,544.0,0
-15.0,265.0,544.0,0
-15.0,250.0,544.0,0
-15.0,235.0,544.0,0
-15.0,220.0,544.0,0
-15.0,205.0,544.0,0
-15.0,190.0,544.0,0
-15.0,175.0,544.0,0
-15.0,160.0,544.0,0
-15.0,145.0,544.0,0
-15.0,130.0,544.0,0
-15.0,115.0,544.0,0
-15.0,100.0,544.0,0
-15.0,85.0,544.0,0
-15.0,70.0,544.0,0
-15.0,55.0,544.0,0
-15.0,40.0,544.0,0
-15.0,25.0,544.0,0
-15.0,10.0,544.0,0
-15.0,5.0,544.0,0
-15.0,20.0,544.0,0
-15.0,35.0,544.0,0
-15.0,50.0,544.0,0
-15.0,65.0,544.0,0
-14.0,956.0,643.0,0
-14.0,942.0,643.0,0
-14.0,928.0,643.0,0
-14.0,914.0,643.0,0
-14.0,900.0,643.0,0
-14.0,886.0,643.0,0
-14.0,872.0,643.0,0
-14.0,858.0,643.0,0
-14.0,844.0,643.0,0
-14.0,830.0,643.0,0
-14.0,816.0,643.0,0
-14.0,802.0,643.0,0
-14.0,788.0,643.0,0
-14.0,774.0,643.0,0
-14.0,760.0,643.0,0
-14.0,746.0,643.0,0
-14.0,732.0,643.0,0
-14.0,718.0,643.0,0
-14.0,704.0,643.0,0
-14.0,690.0,643.0,0
-14.0,676.0,643.0,0
-14.0,662.0,643.0,0
-14.0,648.0,643.0,0
-14.0,634.0,643.0,0
-14.0,620.0,643.0,0
-14.0,606.0,643.0,0
-14.0,592.0,643.0,0
-14.0,578.0,643.0,0
-14.0,564.0,643.0,0
-14.0,550.0,643.0,0
-14.0,536.0,643.0,0
-14.0,522.0,643.0,0
-14.0,508.0,643.0,0
-14.0,494.0,643.0,0
-14.0,480.0,643.0,0
-14.0,466.0,643.0,0
-14.0,452.0,643.0,0
-14.0,438.0,643.0,0
-14.0,424.0,643.0,0
-14.0,410.0,643.0,0
-14.0,396.0,643.0,0
-14.0,382.0,643.0,0
-14.0,368.0,643.0,0
-14.0,354.0,643.0,0
-14.0,340.0,643.0,0
-14.0,326.0,643.0,0
-14.0,312.0,643.0,0
-14.0,298.0,643.0,0
-14.0,284.0,643.0,0
-14.0,270.0,643.0,0
-14.0,256.0,643.0,0
-14.0,242.0,643.0,0
-14.0,228.0,643.0,1
-14.0,214.0,643.0,1
-14.0,200.0,643.0,1
-14.0,186.0,643.0,1
-14.0,172.0,643.0,1
-14.0,158.0,643.0,1
-14.0,144.0,643.0,1
-14.0,130.0,643.0,1
-14.0,116.0,643.0,1
-14.0,102.0,643.0,1
-14.0,88.0,643.0,1
-14.0,74.0,643.0,1
-14.0,60.0,643.0,1
-14.0,46.0,643.0,1
-14.0,32.0,643.0,1
-14.0,18.0,643.0,1
-14.0,4.0,643.0,1
-14.0,10.0,643.0,1
-14.0,24.0,643.0,1
-14.0,38.0,643.0,1
-14.0,52.0,643.0,1
-14.0,66.0,643.0,1
-15.0,955.0,544.0,1
-15.0,940.0,544.0,1
-15.0,925.0,544.0,1
-15.0,910.0,544.0,1
-15.0,895.0,544.0,1
-15.0,880.0,544.0,1
-15.0,865.0,544.0,1
-15.0,850.0,544.0,1
-15.0,835.0,544.0,1
-15.0,820.0,544.0,0
-15.0,805.0,544.0,0
-15.0,790.0,544.0,0
-15.0,775.0,544.0,0
-15.0,760.0,544.0,0
-15.0,745.0,544.0,0
-15.0,730.0,544.0,0
-15.0,715.0,544.0,0
-15.0,700.0,544.0,0
-15.0,685.0,544.0,0
-15.0,670.0,544.0,0
-15.0,655.0,544.0,0
-15.0,640.0,544.0,0
-15.0,625.0,544.0,0
-15.0,610.0,544.0,0
-15.0,595.0,544.0,0
-15.0,580.0,544.0,0
-15.0,565.0,544.0,0
-15.0,550.0,544.0,0
-15.0,535.0,544.0,0
-15.0,520.0,544.0,0
-15.0,505.0,544.0,0
-15.0,490.0,544.0,0
-15.0,475.0,544.0,0
-15.0,460.0,544.0,0
-15.0,445.0,544.0,0
-15.0,430.0,544.0,0
-15.0,415.0,544.0,0
-15.0,400.0,544.0,0
-15.0,385.0,544.0,0
-15.0,370.0,544.0,0
-15.0,355.0,544.0,0
-15.0,340.0,544.0,0
-15.0,325.0,544.0,0
-15.0,310.0,544.0,0
-15.0,295.0,544.0,0
-15.0,280.0,544.0,0
-15.0,265.0,544.0,0
-15.0,250.0,544.0,0
-15.0,235.0,544.0,0
-15.0,220.0,544.0,0
-15.0,205.0,544.0,0
-15.0,190.0,544.0,0
-15.0,175.0,544.0,0
-15.0,160.0,544.0,0
-15.0,145.0,544.0,0
-15.0,130.0,544.0,0
-15.0,115.0,544.0,0
-15.0,100.0,544.0,0
-15.0,85.0,544.0,0
-15.0,70.0,544.0,0
-15.0,55.0,544.0,0
-15.0,40.0,544.0,0
-15.0,25.0,544.0,0
-15.0,10.0,544.0,0
-15.0,5.0,544.0,0
-15.0,20.0,544.0,0
-15.0,35.0,544.0,0
-15.0,50.0,544.0,0
-15.0,65.0,544.0,0
-13.0,957.0,643.0,0
-13.0,944.0,643.0,0
-13.0,931.0,643.0,0
-13.0,918.0,643.0,0
-13.0,905.0,643.0,0
-13.0,892.0,643.0,0
-13.0,879.0,643.0,0
-13.0,866.0,643.0,0
-13.0,853.0,643.0,0
-13.0,840.0,643.0,0
-13.0,827.0,643.0,0
-13.0,814.0,643.0,0
-13.0,801.0,643.0,0
-13.0,788.0,643.0,0
-13.0,775.0,643.0,0
-13.0,762.0,643.0,0
-13.0,749.0,643.0,0
-13.0,736.0,643.0,0
-13.0,723.0,643.0,0
-13.0,710.0,643.0,0
-13.0,697.0,643.0,0
-13.0,684.0,643.0,0
-13.0,671.0,643.0,0
-13.0,658.0,643.0,0
-13.0,645.0,643.0,0
-13.0,632.0,643.0,0
-13.0,619.0,643.0,0
-13.0,606.0,643.0,0
-13.0,593.0,643.0,0
-13.0,580.0,643.0,0
-13.0,567.0,643.0,0
-13.0,554.0,643.0,0
